"etiqueta preferida","tipo","sinónimos y grafías alternativas","marcas (⚠, ≈, †, [F], [H]) como atributos de la fila","# de la fila del registro donde aparece por primera vez"
"agregación de Ministeria vibrans","organismo o población experimental","n/a","n/a","C-1534"
"beneficios actuales de alimentación y apareamiento propuestos","concepto o entidad","n/a","n/a","C-1534"
"multicelularidad agregativa y cuerpo fructífero","rasgo o proceso","n/a","n/a","C-1535"
"colonias bacterianas mediante colectivo","concepto o entidad","n/a","n/a","C-1536"
"agregación por inanición y diferenciación espora-tallo","rasgo o proceso","n/a","n/a","C-1537"
"orígenes en Filasterea, Holomycota y Amoebozoa","magnitud o valor","n/a","n/a","C-1538"
"genotipos tramposos de Dictyostelium discoideum","organismo o población experimental","n/a","n/a","C-1539"
"genotipos cooperadores","concepto o entidad","n/a","n/a","C-1539"
"células de tallo de Dictyostelium discoideum","organismo o población experimental","n/a","n/a","C-1540"
"muerte asociada con soporte de esporas","concepto o entidad","n/a","n/a","C-1540"
"Dictyostelium discoideum a baja relación genética","organismo o población experimental","n/a","n/a","C-1541"
"evolución de engaño destructivo","concepto o entidad","n/a","n/a","C-1541"
"Dictyostelium discoideum a alta relación genética","organismo o población experimental","n/a","n/a","C-1542"
"mantenimiento de cooperación multicelular","concepto o entidad","n/a","n/a","C-1542"
"reconocimiento de parentesco en Dictyostelium discoideum","organismo o población experimental","n/a","n/a","C-1543"
"explotación por tramposos","concepto o entidad","n/a","n/a","C-1543"
"rutas clonal y agregativa","rasgo o proceso","n/a","n/a","C-1544"
"riesgo de quimerismo","concepto o entidad","n/a","n/a","C-1544"
"conflicto dentro de agregados de Capsaspora owczarzaki","organismo o población experimental","n/a","n/a","C-1545"
"conflicto dentro de agregados de Ministeria vibrans","organismo o población experimental","n/a","n/a","C-1546"
"Saccharomyces cerevisiae experimental","organismo o población experimental","n/a","n/a","C-1547"
"multicelularidad snowflake","rasgo o proceso","n/a","n/a","C-1547"
"división clonal con separación incompleta","concepto o entidad","n/a","n/a","C-1548"
"34% de ventaja de aptitud","concepto o entidad","n/a","n/a","C-1549"
"muerte celular asociada con reproducción de grupos","concepto o entidad","n/a","n/a","C-1550"
"levadura snowflake anaerobia","concepto o entidad","n/a","n/a","C-1551"
"600 rondas en cinco poblaciones","concepto o entidad","n/a","n/a","C-1551"
"aproximadamente 2 × 10^4 veces mayor y escala milimétrica","concepto o entidad","n/a","n/a","C-1552"
"aproximadamente 10^4 veces mayor tenacidad","concepto o entidad","n/a","n/a","C-1553"
"células elongadas y entrelazamiento de ramas","concepto o entidad","n/a","n/a","C-1554"
"levadura snowflake con competencia por oxígeno","concepto o entidad","n/a","n/a","C-1555"
"aproximadamente seis veces mayor","concepto o entidad","n/a","n/a","C-1555"
"trayectoria histórica de Holozoa","magnitud o valor","n/a","n/a","C-1556"
"genoma de Monosiga brevicollis","organismo o población experimental","n/a","n/a","C-1557"
"aproximadamente 41.6 Mb y aproximadamente 9,200 genes","magnitud o valor","n/a","n/a","C-1557"
"6.6 intrones por gen y 174 bp por intrón","magnitud o valor","n/a","n/a","C-1558"
"genoma de Salpingoeca rosetta","organismo o población experimental","n/a","n/a","C-1559"
"aproximadamente 55 Mb, 154 scaffolds y N50 1.52 Mb","magnitud o valor","n/a","n/a","C-1559"
"11,629 genes y 98% con apoyo transcriptómico","magnitud o valor","n/a","n/a","C-1560"
"genoma de Capsaspora owczarzaki","organismo o población experimental","n/a","n/a","C-1561"
"28 Mb, 84 scaffolds y 8,657 genes","magnitud o valor","n/a","n/a","C-1561"
"3.8 intrones por gen y 166 bp por intrón","magnitud o valor","n/a","n/a","C-1562"
"genoma de Ministeria vibrans","organismo o población experimental","n/a","n/a","C-1563"
"12,127 genes anotados","magnitud o valor","n/a","n/a","C-1563"
"genoma de Sphaeroforma arctica","organismo o población experimental","n/a","n/a","C-1565"
"121.6 Mb","magnitud o valor","n/a","n/a","C-1565"
"Ichthyophonida y Corallochytrium","magnitud o valor","n/a","n/a","C-1566"
"densidad de intrones","magnitud o valor","n/a","n/a","C-1566"
"Thecamonas trahens","organismo o población experimental; organismo","Amastigomonas trahens","n/a","C-946"
"ensamblaje genómico GCA_000142905.1","recurso genómico o concepto","n/a","n/a","C-1567"
"genoma de Thecamonas trahens","organismo o población experimental","n/a","n/a","C-1568"
"23 genes con dominios de cadherina","gen, proteína o familia funcional","n/a","n/a","C-1569"
"dominios de integrina alfa sin integrina beta canónica detectada","gen, proteína o familia funcional","n/a","n/a","C-1570"
"cinco genes con dominios de colágeno y dos con repeticiones Gly-X-Y","gen, proteína o familia funcional","n/a","n/a","C-1571"
"maquinaria de adhesión mediada por integrinas","gen, proteína o familia funcional","n/a","n/a","C-1572"
"despliegue regulado del adhesoma","magnitud o valor","n/a","n/a","C-1573"
"integrinas preanimales","gen, proteína o familia funcional","n/a","n/a","C-1574"
"ganancias, pérdidas y arquitecturas mosaico","concepto o entidad","n/a","n/a","C-1574"
"dominios preanimales de adhesión y matriz","magnitud o valor","n/a","n/a","C-1575"
"función animal completa","concepto o entidad","n/a","n/a","C-1575"
"producción de matriz extracelular preanimal","concepto o entidad","n/a","n/a","C-1576"
"aproximadamente 120 TK, 30 PTP y 80 proteínas SH2","gen, proteína o familia funcional","n/a","n/a","C-1577"
"señalización por fosfotirosina","concepto o entidad","n/a","n/a","C-1578"
"origen preanimal y reconfiguración posterior","concepto o entidad","n/a","n/a","C-1578"
"Src de Capsaspora owczarzaki","organismo o población experimental","n/a","n/a","C-1579"
"Src animal","gen, proteína o familia funcional","n/a","n/a","C-1579"
"componentes de Notch y Delta distribuidos de forma parcheada","gen, proteína o familia funcional","n/a","n/a","C-1580"
"receptores y ligandos de Hedgehog en Capsaspora y Monosiga","gen, proteína o familia funcional","n/a","n/a","C-1581"
"comparación genómica de Suga et al. 2013","concepto o entidad","n/a","n/a","C-1581"
"familias de señalización preanimales","concepto o entidad","n/a","n/a","C-1582"
"origen antiguo con evolución mosaico","concepto o entidad","n/a","n/a","C-1582"
"tallo de Metazoa","concepto o entidad","n/a","n/a","C-1583"
"235 dominios clasificados como metazoanos en el análisis","concepto o entidad","n/a","n/a","C-1583"
"dos Runx sin CBFβ ni motivo WRPY","gen, proteína o familia funcional","n/a","n/a","C-1584"
"tres genes T-box","gen, proteína o familia funcional","n/a","n/a","C-1585"
"T-box de Capsaspora owczarzaki","organismo o población experimental","n/a","n/a","C-1586"
"Brachyury con bootstrap 50%","gen, proteína o familia funcional","n/a","n/a","C-1586"
"Brachyury","gen, proteína o familia funcional","n/a","n/a","C-1587"
"origen premetazoano y unión a ADN conservada","concepto o entidad","n/a","n/a","C-1587"
"Myc y Max","gen, proteína o familia funcional","n/a","n/a","C-1588"
"repertorio preanimal de regulación","concepto o entidad","n/a","n/a","C-1588"
"Myc–Max de Monosiga brevicollis","organismo o población experimental","n/a","n/a","C-1589"
"heterodimerización y unión a E-box","magnitud o valor","n/a","n/a","C-1589"
"familias de homeodominio preanimales","magnitud o valor","n/a","n/a","C-1590"
"distribución mosaico","concepto o entidad","n/a","n/a","C-1590"
"último ancestro común de Holozoa","población ancestral","n/a","n/a","C-1591"
"un gen p53/p63/p73 inferido","gen, proteína o familia funcional","n/a","n/a","C-1591"
"factor de transcripción preanimal","concepto o entidad","n/a","n/a","C-1592"
"regulación espacial de tipos celulares","concepto o entidad","n/a","n/a","C-1592"
"programas transcriptómicos dependientes del estadio","concepto o entidad","n/a","n/a","C-1593"
"regulación dinámica de cromatina","concepto o entidad","n/a","n/a","C-1594"
"genes preanimales de adhesión y señalización","magnitud o valor","n/a","n/a","C-1595"
"expresión diferencial temporal","concepto o entidad","n/a","n/a","C-1595"
"cooptación de programas de ciclo vital","concepto o entidad","n/a","n/a","C-1596"
"expresión diferencial en Capsaspora","concepto o entidad","n/a","n/a","C-1597"
"4,884 genes diferencialmente expresados","magnitud o valor","n/a","n/a","C-1598"
"521 homólogos: 68 adhesión, 400 señalización y 53 regulación","magnitud o valor","n/a","n/a","C-1599"
"332 homólogos con cambio significativo","magnitud o valor","n/a","n/a","C-1600"
"agregación filasterea","rasgo o proceso","n/a","n/a","C-1601"
"despliegue regulado de repertorios preanimales","concepto o entidad","n/a","n/a","C-1601"
"ancestro común de Filozoa","concepto o entidad","n/a","n/a","C-1602"
"coste comparado de rutas de multicelularidad","rasgo o proceso","n/a","n/a","C-1603"
"Capsaspora y tipos celulares animales","concepto o entidad","n/a","n/a","C-1604"
"correspondencia uno a uno no demostrada","concepto o entidad","n/a","n/a","C-1604"
"ausencia de familia génica en un holozoo unicelular","magnitud o valor","n/a","n/a","C-1605"
"origen posterior de la familia","concepto o entidad","n/a","n/a","C-1605"
"orígenes independientes de multicelularidad","rasgo o proceso","n/a","n/a","C-1606"
"rapidez experimental y tiempo macroevolutivo","concepto o entidad","n/a","n/a","C-1607"
"escalas temporales","concepto o entidad","n/a","n/a","C-1607"
"punto de Pasteur","concepto fisiológico","Pasteur point","n/a","C-837"
"glaciaciones huronianas","evento geológico","Huronian glaciations; glaciaciones paleoproterozoicas correlativas","n/a","C-848"
"excursión Shuram","evento geoquímico","Shuram excursion","n/a","C-849"
"Abeoforma whisleri","organismo","n/a","n/a","C-934"
"Pirum gemmata","organismo","n/a","n/a","C-934"
"Ichthyophonus","organismo","Ichthyophonus sp.; Ichthyophonus hoferi según estudio","n/a","C-936"
"Breviata anathema","organismo","Mastigamoeba invertens sensu estudios históricos","n/a","C-947"
"Nuclearia delicatula","organismo","n/a","n/a","C-948"
"Rhizophydium planktonicum","organismo","Zygorhizidium planktonicum en registros anteriores","n/a","C-949"
"Entamoeba histolytica","organismo","n/a","n/a","C-952"
"Pelomyxa","organismo","Pelomyxa palustris; Pelomyxa schiedti según estudio","n/a","C-954"
"Mastigamoeba balamuthi","organismo","n/a","n/a","C-955"
"inventario genómico de defensas frente a ROS en Asgardarchaeota","objeto de análisis genómico","SOD; superóxido dismutasa; catalasa; reactive oxygen species","[F]","C-840"
"ensayo isotópico de hidroxilación de modelos de colágeno","experimento bioquímico","¹⁸O₂; prolil-hidroxilasa; lisil-hidroxilasa","n/a","C-1938"
"pO₂ atmosférica paleoproterozoica en el modelo de Bellefroid et al.","magnitud ambiental inferida","O₂ atmosférico paleoproterozoico; Grupo Pethei","[H]","C-1939"
"reconstrucción de O₂ somero del Proterozoico medio de Tang et al.","magnitud ambiental inferida","REE+Y; anomalía de Ce; plataforma del norte de China","[H]","C-1940"
"pO₂ atmosférica neoproterozoica en el modelo de Krause et al.","magnitud ambiental inferida","O₂ atmosférico neoproterozoico","[H]","C-1941"
"O₂ disuelto neoproterozoico somero en el modelo de Stockey et al.","magnitud ambiental inferida","plataforma marina somera; cGENIE; SGP","[H]","C-1942"
"cobertura de reconstrucciones ancestrales de hábitat del corredor","estado de conocimiento","Amorphea a Metazoa; reconstrucción nodo por nodo","⚠ [H]","C-1943"
"O₂ disuelto en el océano superficial durante Lomagundi","magnitud ambiental inferida","I/(Ca+Mg); yodato; aguas superficiales paleoproterozoicas","[H]","C-1944"
"término principio de recorte en depredación eucariota","estado de conocimiento","fagotrofia; depredación; eucariogénesis","⚠ [H]","C-1945"
